"01/30/2026","-134.97","*","","SEED.COM 8446463586 CA"
"01/30/2026","-30.00","*","","XAI LLC PALO ALTO CA"
"01/29/2026","-2.99","*","","AMAZON PRIME*5P60604N3 SEATTLE WA"
"01/27/2026","150.00","*","","ONLINE ACH PAYMENT REF #G5F22KK4VJ"
"01/27/2026","-2.99","*","","APPLE.COM/BILL CUPERTINO CA"
"01/13/2026","-132.89","*","","AMAZON MKTPL*BM2K98N33 SEATTLE WA"
"01/13/2026","-74.96","*","","AMAZON MKTPL*2Q5CJ5YN3 SEATTLE WA"
"01/12/2026","1500.00","*","","ONLINE ACH PAYMENT REF #G5F22JHTXM"
"01/07/2026","-61.53","*","","RT* RUSHORDERTEES.COM PHILADELPHIA PA"
"01/06/2026","-8.29","*","","AMAZON MKTPL*5W2QV0HL3 SEATTLE WA"
"01/06/2026","-76.20","*","","AMAZON MKTPL*OO5C87I33 SEATTLE WA"
"01/06/2026","-29.05","*","","AMAZON MKTPL*CS5WA57B3 SEATTLE WA"
"01/05/2026","-2160.80","*","","BPS*BILT RENT NEW YORK NY"
"01/05/2026","-1275.70","*","","AMAZON MKTPL*AP0IS8TB3 SEATTLE WA"
"01/03/2026","-7.00","*","","AMAZON TIPS*JV9OM2OT3 SEATTLE WA"
"01/02/2026","-83.00","*","","Interest Charge on Purchases"
"01/02/2026","-22.48","*","","AMAZON MKTPL*KK4DG4PS3 SEATTLE WA"
"01/01/2026","-95.92","*","","AMAZON.COM*CU9EL2CT3 SEATTLE WA"
"12/30/2025","-30.00","*","","XAI LLC PALO ALTO CA"
"12/29/2025","-2.99","*","","AMAZON PRIME*PW97D1M53 SEATTLE WA"
"12/27/2025","3100.00","*","","ONLINE ACH PAYMENT REF #G5F22H5RB8"
"12/27/2025","-2.99","*","","APPLE.COM/BILL CUPERTINO CA"
"12/27/2025","-47.80","*","","AMAZON MKTPL*P752R52Q3 SEATTLE WA"
"12/19/2025","-38.11","*","","RUNWAY PRO PLAN NEW YORK NY"
"12/06/2025","-134.97","*","","SEED.COM 8446463586 CA"
"12/02/2025","-93.54","*","","Interest Charge on Purchases"
"12/02/2025","-2144.01","*","","BPS*BILT RENT NEW YORK NY"
"12/01/2025","-22.48","*","","AMAZON MARK* BB7P59HE1 SEATTLE WA"
"12/01/2025","-4.62","*","","GOOGLE *CLOUD V6SNTZ MOUNTAIN VIEWCA"
"11/30/2025","-30.00","*","","XAI LLC PALO ALTO CA"
"11/29/2025","-50.00","*","","KLARNA*NATE S AI NEW WILMINGTON DE"
"11/29/2025","-2.99","*","","AMAZON PRIME*BB9EV7PM2 SEATTLE WA"
"11/28/2025","3300.00","*","","ONLINE ACH PAYMENT REF #G5F22DW649"
"11/27/2025","-40.00","*","","LATE FEE"
"11/27/2025","-2.99","*","","APPLE.COM/BILL CUPERTINO CA"
"11/23/2025","-40.00","*","","RUNWARE.AI MIDDLESEX LN"
"11/21/2025","-23.97","*","","AMAZON RETA* B02Q565V0 SEATTLE WA"
"11/21/2025","-39.26","*","","AMAZON MARK* B05SN48P2 SEATTLE WA"
"11/18/2025","-22.85","*","","AMAZON MARK* B854O5YU2 SEATTLE WA"
"11/18/2025","-26.90","*","","AMAZON MARK* B06WV3NG1 SEATTLE WA"
"11/14/2025","-36.99","*","","AMAZON MARK* B81FM6BK1 SEATTLE WA"
"11/13/2025","-85.38","*","","AMAZON MARK* BT8EZ6Y52 SEATTLE WA"
"11/09/2025","-432.00","*","","WEAVY - PRO DOVER DE"
"11/08/2025","-44.99","*","","AMAZON MARK* BT1WP23X2 SEATTLE WA"
"11/08/2025","-50.61","*","","AMAZON MARK* BT5GW7BX0 SEATTLE WA"
"11/07/2025","-108.29","*","","ROSEBANK PHARMACY - S STATEN ISLANDNY"
"11/06/2025","-67.60","*","","AMAZON MARK* BT24P20Z0 SEATTLE WA"
"11/04/2025","-2206.55","*","","BPS*BILT RENT NEW YORK NY"
"11/03/2025","-35.10","*","","AMAZON MARK* NK61A17H1 SEATTLE WA"
"11/02/2025","-36.43","*","","Interest Charge on Purchases"
"11/01/2025","-2.92","*","","GOOGLE*CLOUD BVW2LP CC GOOGLE.COMCA"
"11/01/2025","-22.48","*","","AMAZON MARK* N444B1Y42 SEATTLE WA"
"11/01/2025","-151.34","*","","AMAZON PRIME*L93GB58V3 SEATTLE WA"
"10/30/2025","-25.00","*","","HUDSONNEWS ST992 CARSON CA"
"10/30/2025","-49.43","*","","LAX AIRP BGRILL BY BOA LOS ANGELES CA"
"10/30/2025","-40.00","*","","UNITED 01643421867592 HOUSTON TX"
"10/30/2025","-50.00","*","","UNITED 01643421867603 HOUSTON TX"
"10/29/2025","-2.99","*","","AMAZON PRIME*NK3BT7FZ0 SEATTLE WA"
"10/28/2025","-2.99","*","","APPLE.COM/BILL CUPERTINO CA"
"10/27/2025","3200.00","*","","ONLINE ACH PAYMENT REF #G5F22BFJPM"
"10/25/2025","-37.32","*","","TERRANEA RESORT SEA BE RANCHO PALOS CA"
"10/24/2025","169.00","*","","SP BUTCHERBOX WATERTOWN MA"
"10/23/2025","-169.00","*","","SP BUTCHERBOX WATERTOWN MA"
"10/23/2025","-42.88","*","","AMAZON MKTPL*NU8002NQ2 SEATTLE WA"
"10/22/2025","-49.95","*","","AMAZON MKTPL*NU07667A0 SEATTLE WA"
